aircraft_id,model,engine_count,engine_ids,operator,total_flight_cycles,status,msn,in_service_date,total_flight_hours,base_location
EC-MSDD,A320-200,2,ENG-0001;ENG-0002,BlueJet,15092,in-service,MSN-1001,2020-03-08,26443,LHR
EC-MHKG,A320-200,2,ENG-0003;ENG-0004,IberLink,12032,in-service,MSN-1002,2009-09-23,21004,LHR
F-GBTD,B737-800,2,ENG-0005;ENG-0006,NordWings,2600,in-service,MSN-1003,2017-10-01,4660,LHR
EIVTK,A320-200,2,ENG-0007;ENG-0008,SkyAlpha,18101,in-service,MSN-1004,2011-10-09,31397,LGW
EC-MDBQ,A320-200,2,ENG-0009;ENG-0010,NordWings,18154,in-service,MSN-1005,2008-05-08,32051,CDG
EITBM,B737-700,2,ENG-0011;ENG-0012,NordWings,14739,in-service,MSN-1006,2021-01-01,25096,CDG
F-GRAX,A321-200,2,ENG-0013;ENG-0014,BlueJet,2677,in-service,MSN-1007,2010-06-23,4850,LHR
EC-MKHX,B737-800,2,ENG-0015;ENG-0016,SkyAlpha,26878,in-maintenance,MSN-1008,2019-02-03,48376,LHR
EIHUD,A320-200,2,ENG-0017;ENG-0018,NordWings,27656,in-service,MSN-1009,2018-09-09,53372,LHR
G-EZRA,B737-700,2,ENG-0019;ENG-0020,SkyAlpha,8534,in-service,MSN-1010,2011-08-12,14606,CDG
D-AZCC,A321-200,2,ENG-0021;ENG-0022,MeridianAir,1739,in-maintenance,MSN-1011,2021-11-07,2978,AMS
EC-MWGP,B737-800,2,ENG-0023;ENG-0024,SkyAlpha,6350,in-service,MSN-1012,2011-12-28,10851,BCN
D-ADXE,B737-800,2,ENG-0025;ENG-0026,NordWings,4731,in-service,MSN-1013,2014-11-13,8892,MUC
F-GZMP,B737-700,2,ENG-0027;ENG-0028,SkyAlpha,1575,in-service,MSN-1014,2023-09-12,2763,LGW
F-GKCX,B737-700,2,ENG-0029;ENG-0030,SkyAlpha,15868,in-service,MSN-1015,2023-10-21,29908,FRA
D-AJNV,B737-700,2,ENG-0031;ENG-0032,MeridianAir,8843,in-service,MSN-1016,2021-08-03,15639,MUC
F-GVXU,B737-700,2,ENG-0033;ENG-0034,NordWings,27183,in-maintenance,MSN-1017,2017-03-18,47485,LHR
G-ESCV,B737-800,2,ENG-0035;ENG-0036,MeridianAir,15540,in-service,MSN-1018,2017-03-27,30095,CDG
D-ABFH,A321-200,2,ENG-0037;ENG-0038,BlueJet,13955,in-maintenance,MSN-1019,2015-10-19,25262,AMS
D-AJWH,B737-700,2,ENG-0039;ENG-0040,NordWings,11758,in-service,MSN-1020,2009-06-25,23361,FRA
EIYXX,A321-200,2,ENG-0041;ENG-0042,NordWings,25106,in-service,MSN-1021,2018-08-28,45775,FRA
G-EYUA,B737-800,2,ENG-0043;ENG-0044,SkyAlpha,15329,in-service,MSN-1022,2013-03-17,27738,LGW
EIQHR,A320-200,2,ENG-0045;ENG-0046,IberLink,27441,in-service,MSN-1023,2008-07-10,49542,ORY
F-GERC,A320-200,2,ENG-0047;ENG-0048,MeridianAir,18509,in-service,MSN-1024,2021-05-18,35088,MUC
EC-MLEU,B737-800,2,ENG-0049;ENG-0050,MeridianAir,18848,in-service,MSN-1025,2019-03-09,37553,LHR
EC-MVSH,B737-700,2,ENG-0051;ENG-0052,NordWings,14797,AOG,MSN-1026,2008-05-12,28970,ORY
F-GPKA,A321-200,2,ENG-0053;ENG-0054,BlueJet,20437,in-service,MSN-1027,2009-03-23,37281,LHR
D-AXYN,B737-700,2,ENG-0055;ENG-0056,IberLink,18455,in-service,MSN-1028,2016-04-02,36040,CDG
EC-MXRY,A320-200,2,ENG-0057;ENG-0058,BlueJet,11408,in-service,MSN-1029,2008-08-01,19768,FRA
G-EXVV,B737-800,2,ENG-0059;ENG-0060,SkyAlpha,9143,in-service,MSN-1030,2008-01-19,17036,CDG
PH-BNUN,B737-700,2,ENG-0061;ENG-0062,MeridianAir,10834,in-maintenance,MSN-1031,2021-10-24,19732,AMS
PH-BVRC,B737-700,2,ENG-0063;ENG-0064,IberLink,20363,in-service,MSN-1032,2020-10-13,40520,AMS
G-EEGV,B737-800,2,ENG-0065;ENG-0066,IberLink,3086,in-maintenance,MSN-1033,2013-11-11,6030,CDG
